N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.005,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
2.20,50000.00,-1.48,0.03,-0.73,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.20,50000.00,-1.43,0.04,-0.43,0.26,0.00,0.00,0.03,0.00,,,,,,,,,,,,,,
2.21,50000.00,-1.46,0.03,0.72,0.03,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.21,50000.00,-1.44,0.04,-0.65,0.10,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.22,50000.00,-1.45,0.03,0.70,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.22,50000.00,-1.43,0.04,0.66,0.08,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.23,50000.00,-1.37,0.04,-0.25,0.28,0.00,0.00,0.04,0.00,,,,,,,,,,,,,,
2.23,50000.00,-1.36,0.03,0.00,0.16,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,
2.24,50000.00,-1.36,0.03,0.25,0.13,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,
2.24,50000.00,-1.38,0.04,0.58,0.10,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.25,50000.00,-1.32,0.03,-0.17,0.11,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.25,50000.00,-1.33,0.04,0.25,0.28,0.00,0.00,0.03,0.00,,,,,,,,,,,,,,
2.26,50000.00,-1.31,0.03,0.19,0.12,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,
2.26,50000.00,-1.32,0.03,0.38,0.10,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.27,50000.00,-1.30,0.03,0.17,0.21,0.00,0.00,0.02,0.00,,,,,,,,,,,,,,
2.27,50000.00,-1.29,0.03,0.27,0.19,0.00,0.00,0.02,0.00,,,,,,,,,,,,,,
2.28,50000.00,-1.27,0.03,-0.14,0.11,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2.28,50000.00,-1.27,0.03,-0.17,0.11,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,
